,id_start_el,id_end_el,id_start_ah,id_end_ah,t_start_el,t_end_el,t_start_ah,t_end_ah,pos_start_el,pos_end_el,pos_start_ah,pos_end_ah,amp_el,amp_ah,peak_vel_el,peak_vel_ah,subject,task,trial,corr
1,313,328,473,491,1.256,1.26,1.2999999999999998,1.3039999999999998,16.055580179430482,7.1103359457079875,31.187809024919694,21.38329583235861,-8.945244233722494,-9.804513192561085,265.1339324191,223.76454530273918,AE06,VMS,24,0.8885570978132581
0,562,575,534,551,2.252,2.256,2.236,2.24,8.587542552001988,24.587778512633683,22.375244390099876,39.94210486048838,16.000235960631695,17.5668604703885,483.05517597354316,506.99074164573983,AE06,VMS,25,0.9156475430232036
1,322,332,294,307,1.292,1.296,1.276,1.28,17.09791183774337,7.0800724535652355,30.886119825743602,20.499154196439946,-10.017839384178135,-10.386965629303656,401.5355433924548,330.50267086992886,AE06,VMS,25,0.9156475430232036
0,554,567,553,571,2.22,2.224,2.204,2.208,9.747458808001811,24.873729958536245,23.287495932836315,41.33519712383916,15.126271150534434,18.047701191002844,449.5871102160135,465.0185983767884,AE06,VMS,26,0.9360710617908828
1,311,321,309,323,1.248,1.252,1.228,1.232,17.881019125734245,6.226760462254191,31.691768117286127,19.508996884078115,-11.654258663480054,-12.182771233208012,436.98831681022295,392.14168947745014,AE06,VMS,26,0.9360710617908828
0,553,566,556,571,2.216,2.22,2.212,2.216,21.086178431911435,9.395970087907454,35.914651542570454,22.549308286649893,-11.690208344003981,-13.36534325592056,366.0932428729744,365.48782201399644,AE06,VMS,27,0.9241722139759082
1,316,322,319,327,1.268,1.272,1.264,1.268,17.932303574019905,20.450859618845083,32.69177757726513,36.10907171391966,2.5185560448251785,3.417294136654533,131.72931083463772,151.52144244093347,AE06,VMS,27,0.9241722139759082
0,552,578,572,605,2.212,2.216,2.1839999999999997,2.1879999999999997,23.25340143174587,11.141327302957428,42.240468008260336,25.270434358227508,-12.112074128788443,-16.97003365003283,180.11198285034746,235.80010142121742,AE06,VMS,28,0.9216197621721314
1,314,324,338,352,1.26,1.264,1.248,1.252,17.977499558801924,23.14687408530071,33.47948371404478,41.12580104621616,5.169374526498785,7.646317332171378,170.92078860656676,229.18854103683165,AE06,VMS,28,0.9216197621721314
0,556,571,703,721,2.228,2.232,2.364,2.368,26.82321079911806,10.644513603649976,45.74678717154786,23.32569090232094,-16.178697195468082,-22.42109626922692,393.519272102098,500.1732631930456,AE06,VMS,29,0.9372838054208542
1,303,312,451,463,1.216,1.22,1.356,1.36,18.974559783716877,26.183584831049235,33.55008526741115,44.4300704807507,7.209025047332357,10.879985213339552,285.58229404024496,410.3080682450857,AE06,VMS,29,0.9372838054208542
