subject,eye,trial,target_freq,el_freq,ah_freq,el_freq_gain,ah_freq_gain,target_amp,el_amp,ah_amp,el_amp_gain,ah_amp_gain
AE11,right,30,0.2,0.199898207,0.190005583,0.999491033,0.950027917,9,5.493020268,4.461397415,0.610335585,0.495710824
AE11,left,1,0.1,0.097532985,0.104610169,0.975329854,1.046101685,9,6.051676421,5.162207683,0.672408491,0.573578632
AE11,left,2,0.2,0.199231054,0.201766757,0.996155272,1.008833787,9,6.038064447,5.86898353,0.67089605,0.652109281
AE11,left,5,0.2,0.19918391,0.194265743,0.995919549,0.971328717,9,5.822390103,6.064602293,0.646932234,0.673844699
AE11,left,6,0.2,0.197996308,0.159703059,0.989981541,0.798515294,9,5.310930683,6.391767256,0.590103409,0.710196362
AE11,left,10,0.2,0.206834243,0.193064221,1.034171212,0.965321103,9,5.355269595,5.962428984,0.595029955,0.662492109
AE11,left,11,0.1,0.097509688,0.09495735,0.975096876,0.949573501,9,5.774177298,5.288811457,0.641575255,0.587645717
AE11,left,13,0.1,0.100082848,0.114478339,1.000828482,1.144783385,9,5.049229047,4.828555531,0.56102545,0.53650617
AE11,left,14,0.1,0.099978183,0.099985005,0.999781829,0.999850047,9,5.706740739,6.079211145,0.634082304,0.675467905
AE11,left,15,0.1,0.099181737,0.101543753,0.991817373,1.01543753,9,5.460530403,5.420375755,0.6067256,0.602263973
AE11,left,16,0.1,0.110286966,0.098982472,1.102869661,0.989824723,9,4.744684058,5.711633283,0.527187118,0.63462592
AE11,left,17,0.1,0.098734406,0.098070804,0.987344064,0.980708042,9,5.578604039,6.053012826,0.619844893,0.672556981
AE11,left,19,0.1,0.097721853,0.098261345,0.977218532,0.982613454,9,5.727428086,5.425261792,0.636380898,0.602806866
AE11,left,20,0.2,0.211889651,0.204453985,1.059448255,1.022269926,9,5.836929118,6.112697705,0.64854768,0.679188634
AE11,left,22,0.1,0.097209242,0.1058567,0.972092419,1.058567002,9,6.790690587,5.000558028,0.754521176,0.555617559
AE11,left,25,0.2,0.208491869,0.149416097,1.042459343,0.747080486,9,5.518876145,6.610035902,0.613208461,0.734448434
AE11,left,27,0.2,0.204361783,0.198271952,1.021808914,0.991359758,9,5.56837527,5.381186758,0.618708363,0.59790964
AE11,left,28,0.2,0.175373881,0.147735724,0.876869404,0.738678619,9,5.695889674,6.125355425,0.63287663,0.680595047
AE11,left,29,0.2,0.194394712,0.128809884,0.971973562,0.644049417,9,5.748780097,6.288280385,0.638753344,0.698697821
AE11,left,30,0.2,0.202281311,0.195281143,1.011406553,0.976405713,9,5.418046287,5.183906444,0.602005143,0.575989605
AE12,right,1,0.1,0.099888312,0.02896181,0.998883123,0.2896181,9,6.496050721,0.754080649,0.721783413,0.083786739
AE12,right,2,0.2,0.201810849,0.161059674,1.009054245,0.805298369,9,6.489084802,1.041745508,0.721009422,0.115749501
AE12,right,5,0.2,0.205393221,0.206184496,1.026966102,1.030922482,9,5.797621352,5.424779778,0.64418015,0.602753309
AE12,right,6,0.2,0.199736492,0.055861529,0.998682458,0.279307643,9,6.309254792,3.405035235,0.70102831,0.378337248
AE12,right,10,0.2,0.201921705,0.127399618,1.009608527,0.636998092,9,6.314380661,4.038113828,0.701597851,0.448679314
AE12,right,13,0.1,0.097028417,0.104865759,0.970284166,1.048657587,9,5.865342534,4.321425071,0.651704726,0.480158341
AE12,right,14,0.1,0.097701979,0.092855656,0.977019791,0.928556565,9,5.619324922,6.120720461,0.624369436,0.680080051
AE12,right,15,0.1,0.098845957,0.102036463,0.988459566,1.020364625,9,6.16627707,4.827943267,0.685141897,0.536438141
AE12,right,16,0.1,0.09905169,0.099268632,0.990516903,0.992686323,9,5.674735001,5.96615427,0.630526111,0.66290603
AE12,right,17,0.1,0.108440852,0.100313237,1.084408522,1.003132365,9,5.078900676,5.846978731,0.564322297,0.649664304
AE12,right,18,0.1,0.100887292,0.101640377,1.008872924,1.016403773,9,6.32598896,5.019203592,0.702887662,0.557689288
AE12,right,19,0.1,0.103209241,0.196601062,1.032092407,1.966010622,9,6.162302815,5.233275685,0.684700313,0.581475076
AE12,right,20,0.2,0.200612362,0.02022534,1.003061812,0.101126702,9,6.194714822,1.383484016,0.688301647,0.153720446
AE12,right,22,0.1,0.101785911,0.022313596,1.017859109,0.223135964,9,6.71851808,2.390985232,0.746502009,0.265665026
AE12,right,27,0.2,0.203824604,0.19908727,1.019123021,0.995436349,9,6.202128823,5.43849012,0.689125425,0.60427668
AE12,right,28,0.2,0.197984737,0.198432222,0.989923683,0.992161108,9,6.048179064,5.421100298,0.672019896,0.602344478
AE12,left,2,0.2,0.201560585,0.039224215,1.007802924,0.196121077,9,6.432785488,1.388062535,0.714753943,0.154229171
AE12,left,5,0.2,0.207556793,0.216634697,1.037783963,1.083173483,9,5.76651389,3.927288885,0.640723766,0.436365432
AE12,left,6,0.2,0.202450181,0.032372691,1.012250907,0.161863454,9,6.470294322,2.304381328,0.718921591,0.25604237
AE12,left,10,0.2,0.202160453,0.1183037,1.010802267,0.591518499,9,6.443367456,3.879056815,0.715929717,0.431006313
AE12,left,13,0.1,0.096536325,0.114724931,0.965363247,1.147249311,9,6.125956195,3.147300807,0.680661799,0.34970009
AE12,left,14,0.1,0.097680956,0.096114286,0.976809556,0.961142857,9,5.820449438,4.101679622,0.646716604,0.45574218
AE12,left,15,0.1,0.098789409,0.100416892,0.987894089,1.004168916,9,6.510118762,3.831188813,0.723346529,0.425687646
AE12,left,16,0.1,0.10048623,0.102871502,1.004862303,1.028715022,9,5.592529631,3.750371363,0.621392181,0.416707929
AE12,left,17,0.1,0.107741959,0.090205469,1.077419589,0.90205469,9,5.454514317,6.416574081,0.606057146,0.712952676
AE12,left,18,0.1,0.094524598,0.10578077,0.94524598,1.057807697,9,7.152362358,4.439279077,0.794706929,0.493253231
AE12,left,19,0.1,0.103499547,0.196182854,1.034995471,1.961828544,9,6.110787195,4.589574384,0.678976355,0.509952709
AE12,left,20,0.2,0.199728516,0.069972244,0.998642582,0.349861219,9,6.242150826,0.493466226,0.693572314,0.054829581
AE12,left,22,0.1,0.099468103,0.034239975,0.994681033,0.342399746,9,6.469287963,2.662267917,0.718809774,0.295807546
AE12,left,25,0.2,0.204127071,0.046109811,1.020635355,0.230549054,9,6.370327108,0.993321281,0.707814123,0.110369031
AE12,left,27,0.2,0.204342163,0.198505189,1.021710815,0.992525945,9,6.414409973,5.070426522,0.712712219,0.563380725
AE12,left,28,0.2,0.198981393,0.205292775,0.994906964,1.026463875,9,6.235589682,4.785273726,0.692843298,0.531697081
AE13,right,1,0.1,0.097856263,0.102645273,0.97856263,1.026452726,9,6.475935269,4.513846628,0.719548363,0.501538514
AE13,right,2,0.2,0.199012184,0.201588388,0.99506092,1.007941939,9,6.666857887,4.682016806,0.740761988,0.52022409
AE13,right,5,0.2,0.203637953,0.202138626,1.018189765,1.010693127,9,6.867014194,4.725319093,0.763001577,0.525035455
AE13,right,6,0.2,0.202786306,0.205943943,1.013931531,1.029719713,9,6.623087473,4.567618169,0.735898608,0.50751313
AE13,right,10,0.2,0.199507632,0.20059336,0.99753816,1.002966799,9,6.865842035,4.330697161,0.762871337,0.481188573
AE13,right,11,0.1,0.102782623,0.11310037,1.027826225,1.131003704,9,6.864085312,3.840309435,0.762676146,0.426701048
AE13,right,13,0.1,0.103989946,0.115131876,1.03989946,1.151318763,9,6.047621931,3.71311182,0.671957992,0.41256798
