,subject,amp,vel,eye,tracker
97,AE03,6.143311777,210.7265596,right,EL
98,AE03,5.332235269,174.5184516,right,EL
100,AE03,5.751079105,202.7325667,right,EL
101,AE03,-4.239269398,149.4349294,right,EL
102,AE03,-5.180510215,185.4746483,right,EL
103,AE03,-3.595087808,145.9118136,right,EL
104,AE03,5.438416199,186.5136524,right,EL
105,AE03,4.872662507,134.1623366,right,EL
106,AE03,3.250994316,116.041505,right,EL
107,AE03,-8.074758325,166.4096843,right,EL
108,AE03,-4.958897562,188.6194266,right,EL
109,AE03,-6.625633132,198.8758377,right,EL
110,AE03,-4.586613945,166.7180065,right,EL
111,AE03,4.775214082,167.6440941,right,EL
112,AE03,-25.51962911,278.1691087,right,EL
113,AE03,-27.98456947,383.2427865,right,EL
114,AE03,5.587392145,216.9174545,right,EL
115,AE03,7.842964995,308.7659097,right,EL
116,AE03,-4.341880474,160.0678078,right,EL
117,AE03,7.126007597,205.8185217,right,EL
118,AE03,-4.594877377,161.2621703,right,EL
120,AE03,5.359969163,197.2866669,right,EL
121,AE03,-2.728710541,110.1260949,right,EL
123,AE03,-6.329063554,209.7632988,right,EL
124,AE03,-5.245905244,182.0799509,right,EL
125,AE03,-3.710435764,151.1327241,right,EL
126,AE03,-3.756848556,152.8481289,right,EL
127,AE03,8.910937137,253.9210145,right,EL
128,AE03,-1.9945393,102.8645108,right,EL
129,AE03,-1.460864628,77.95419507,right,EL
130,AE03,-3.112195362,109.8484674,right,EL
131,AE03,6.399153935,245.3519388,right,EL
132,AE03,-1.900859467,107.0767188,right,EL
133,AE03,-30.59942063,366.8006152,right,EL
134,AE03,7.777538656,207.6524724,right,EL
135,AE03,-30.28768434,354.2174857,right,EL
136,AE03,7.123138126,216.9777021,right,EL
137,AE03,-1.419744972,64.73180043,right,EL
138,AE03,-4.593129784,97.01573121,right,EL
139,AE03,-5.417031555,167.6355043,right,EL
140,AE03,8.618565913,188.7626525,right,EL
141,AE03,-2.332187429,99.06942272,right,EL
143,AE03,1.680730035,95.83475621,right,EL
144,AE03,2.887071175,124.0529988,right,EL
145,AE03,-29.58256135,362.2218262,right,EL
146,AE03,-6.338560583,172.5280001,right,EL
147,AE03,-5.559154195,174.987116,right,EL
148,AE03,1.712767162,76.32097736,right,EL
149,AE03,5.786616022,215.3355074,right,EL
150,AE03,1.213276982,79.75692986,right,EL
151,AE03,4.109981063,147.554317,right,EL
152,AE03,7.26661891,230.7956549,right,EL
153,AE03,3.581237157,127.6428627,right,EL
154,AE03,-3.520842715,111.3722465,right,EL
155,AE03,-0.883319108,46.58369149,right,EL
156,AE03,-1.456442253,79.9894493,right,EL
157,AE03,-25.06692031,339.4302113,right,EL
158,AE03,-28.34504351,359.6820069,right,EL
159,AE03,-5.867559159,207.9409139,right,EL
160,AE03,8.471047988,264.3969643,right,EL
161,AE03,5.511726348,192.3160755,right,EL
162,AE03,1.583722165,92.86637025,right,EL
163,AE03,-7.038164141,137.5361092,right,EL
164,AE03,-5.204100766,162.058258,right,EL
165,AE03,-4.94989211,149.6166411,right,EL
166,AE03,-7.270365967,241.9434797,right,EL
167,AE03,4.1891098,167.3575451,right,EL
168,AE03,-8.445115037,279.4911279,right,EL
169,AE03,5.878411284,216.7477551,right,EL
170,AE03,-7.439930491,206.7469221,right,EL
171,AE03,-3.665085929,118.9959255,right,EL
172,AE03,3.809081721,152.5694671,right,EL
173,AE03,5.569653653,226.2065291,right,EL
174,AE03,8.583651148,238.6643487,right,EL
0,AE04,5.646635842,248.1126856,right,EL
1,AE04,3.108065727,155.8785424,right,EL
2,AE04,-10.91222753,280.6750341,right,EL
3,AE04,5.295866925,224.4632715,right,EL
4,AE04,-11.66322865,303.9403202,right,EL
5,AE04,10.73778024,310.877244,right,EL
6,AE04,5.403096645,230.419244,right,EL
7,AE04,10.57110557,304.1676118,right,EL
8,AE04,-12.6368424,331.0963386,right,EL
9,AE04,10.86056435,333.4811308,right,EL
10,AE04,-10.43088007,281.7714204,right,EL
11,AE04,11.18032534,322.3198492,right,EL
12,AE04,8.276743055,280.395531,right,EL
13,AE04,-10.53946697,307.5429734,right,EL
14,AE04,2.38331859,136.0018702,right,EL
15,AE04,5.672529759,224.20869,right,EL
16,AE04,2.437579067,132.7050176,right,EL
17,AE04,-2.21298556,116.8296572,right,EL
18,AE04,-12.31054882,282.820312,right,EL
19,AE04,10.50556447,316.3772583,right,EL
20,AE04,10.41863047,301.0055221,right,EL
21,AE04,5.176464333,220.8487941,right,EL
22,AE04,8.09622505,281.2869308,right,EL
23,AE04,10.55480874,294.7925214,right,EL
24,AE04,10.55767276,294.5003398,right,EL
25,AE04,-8.505279423,253.0280999,right,EL
26,AE04,-8.185679738,221.8558202,right,EL
27,AE04,5.480549891,205.4099456,right,EL
28,AE04,2.278481412,137.3513979,right,EL
29,AE04,-10.3720388,281.1308923,right,EL
30,AE04,5.268827872,207.1971917,right,EL
31,AE04,-2.385151751,136.6220655,right,EL
32,AE04,-7.706851213,207.3909042,right,EL
33,AE04,-5.556786198,191.752019,right,EL
34,AE04,8.418861338,281.1930752,right,EL
35,AE04,-8.459797274,237.6014903,right,EL
36,AE04,5.64805293,218.7379023,right,EL
37,AE04,2.447422627,136.1431049,right,EL
38,AE04,-2.547616177,146.3665506,right,EL
39,AE04,11.76630472,315.5443927,right,EL
40,AE04,-8.568289542,254.8194091,right,EL
41,AE04,-10.88179184,278.0970738,right,EL
42,AE04,-5.377957501,193.597756,right,EL
43,AE04,-8.055537617,254.6117721,right,EL
44,AE04,8.241193952,277.1669183,right,EL
45,AE04,11.73388279,339.2989953,right,EL
46,AE04,-2.549990652,132.2133173,right,EL
47,AE04,-11.2759582,301.1135466,right,EL
48,AE04,8.141478647,279.6959977,right,EL
